Date,Stock,Sector,Buy_Price,Sell_Price,Quantity
2026-01-07,HDFC Bank,Banking,1807.06,1846.39,25
2026-01-07,ICICI Bank,Banking,1203.82,1242.6,20
2026-01-07,SBI,Banking,827.5,842.25,25
2026-01-07,ITC,FMCG,442.64,443.13,20
2026-01-07,Hindustan Unilever,FMCG,2339.82,2306.6,30
2026-01-08,TCS,IT,3298.12,3262.06,5
2026-01-08,Infosys,IT,1527.43,1522.12,5
2026-01-08,HCL Tech,IT,1423.57,1393.26,30
2026-01-08,Reliance,Energy,1401.2,1379.7,5
2026-01-08,ONGC,Energy,279.66,274.98,15
2026-01-08,HDFC Bank,Banking,1725.25,1758.84,5
2026-01-08,ICICI Bank,Banking,1190.77,1194.01,20
2026-01-08,SBI,Banking,784.11,786.08,10
2026-01-08,ITC,FMCG,457.64,455.37,5
2026-01-08,Hindustan Unilever,FMCG,2425.8,2429.4,30
2026-01-09,TCS,IT,3109.09,3137.43,20
2026-01-09,Infosys,IT,1498.03,1502.33,15
2026-01-09,HCL Tech,IT,1420.09,1420.84,10
2026-01-09,Reliance,Energy,1414.96,1454.9,15
2026-01-09,ONGC,Energy,287.09,285.66,15
2026-01-09,HDFC Bank,Banking,1706.11,1722.84,25
2026-01-09,ICICI Bank,Banking,1234.4,1213.73,10
2026-01-09,SBI,Banking,800.77,793.34,15
2026-01-09,ITC,FMCG,444.55,449.31,5
2026-01-09,Hindustan Unilever,FMCG,2433.73,2332.84,5
2026-01-12,TCS,IT,3101.05,3155.76,10
2026-01-12,Infosys,IT,1609.79,1578.95,20
2026-01-12,HCL Tech,IT,1453.44,1449.31,20
2026-01-12,Reliance,Energy,1406.53,1405.54,15
2026-01-12,ONGC,Energy,273.03,278.59,15
2026-01-12,HDFC Bank,Banking,1799.89,1770.79,30
2026-01-12,ICICI Bank,Banking,1226.87,1215.53,20
2026-01-12,SBI,Banking,825.51,831.44,20
2026-01-12,ITC,FMCG,452.9,458.88,5
2026-01-12,Hindustan Unilever,FMCG,2304.97,2305.06,30
2026-01-13,TCS,IT,3212.48,3282.8,5
2026-01-13,Infosys,IT,1509.81,1550.35,20
2026-01-13,HCL Tech,IT,1419.52,1453.38,15
2026-01-13,Reliance,Energy,1417.65,1400.96,5
2026-01-13,ONGC,Energy,280.95,293.29,30
2026-01-13,HDFC Bank,Banking,1714.16,1723.84,30
2026-01-13,ICICI Bank,Banking,1245.97,1270.13,15
2026-01-13,SBI,Banking,818.87,820.89,30
2026-01-13,ITC,FMCG,455.22,463.55,20
2026-01-13,Hindustan Unilever,FMCG,2442.71,2467.38,15
2026-01-14,TCS,IT,3218.43,3227.41,30
2026-01-14,Infosys,IT,1601.44,1611.74,15
2026-01-14,HCL Tech,IT,1478.74,1479.78,30
2026-01-14,Reliance,Energy,1452.27,1465.56,15
2026-01-14,ONGC,Energy,290.76,290.49,5
2026-01-14,HDFC Bank,Banking,1724.37,1714.79,10
2026-01-14,ICICI Bank,Banking,1205.45,1212.82,30
2026-01-14,SBI,Banking,774.22,781.91,30
2026-01-14,ITC,FMCG,444.91,439.4,10
2026-01-14,Hindustan Unilever,FMCG,2446.23,2408.34,5
2026-01-15,TCS,IT,3106.98,3141.45,10
2026-01-15,Infosys,IT,1588.36,1643.99,15
2026-01-15,HCL Tech,IT,1421.72,1407.23,5
2026-01-15,Reliance,Energy,1414.32,1423.54,20
2026-01-15,ONGC,Energy,283.36,289.08,20
2026-01-15,HDFC Bank,Banking,1804.13,1830.7,20
2026-01-15,ICICI Bank,Banking,1207.57,1252.26,15
2026-01-15,SBI,Banking,797.8,790.49,30
2026-01-15,ITC,FMCG,442.32,440.35,20
2026-01-15,Hindustan Unilever,FMCG,2311.46,2321.73,30
2026-01-16,TCS,IT,3209.49,3274.95,20
2026-01-16,Infosys,IT,1514.76,1505.37,25
2026-01-16,HCL Tech,IT,1445.04,1439.19,30
2026-01-16,Reliance,Energy,1404.55,1419.84,20
2026-01-16,ONGC,Energy,271.77,272.06,15
2026-01-16,HDFC Bank,Banking,1741.46,1731.44,10
2026-01-16,ICICI Bank,Banking,1154.43,1141.86,10
2026-01-16,SBI,Banking,826.57,853.77,10
2026-01-16,ITC,FMCG,440.63,443.41,25
2026-01-16,Hindustan Unilever,FMCG,2445.68,2478.46,25
2026-01-19,TCS,IT,3228.6,3149.99,15
2026-01-19,Infosys,IT,1581.97,1572.93,5
2026-01-19,HCL Tech,IT,1431.66,1453.97,20
2026-01-19,Reliance,Energy,1363.4,1382.21,30
2026-01-19,ONGC,Energy,283.35,282.55,10
2026-01-19,HDFC Bank,Banking,1767.62,1789.61,10
2026-01-19,ICICI Bank,Banking,1200.1,1245.47,10
2026-01-19,SBI,Banking,769.7,777.74,15
2026-01-19,ITC,FMCG,460.83,468.43,5
2026-01-19,Hindustan Unilever,FMCG,2391.98,2477.04,15
2026-01-20,TCS,IT,3282.08,3359.1,10
2026-01-20,Infosys,IT,1513.63,1530.35,25
2026-01-20,HCL Tech,IT,1400.05,1411.33,5
2026-01-20,Reliance,Energy,1417.44,1405.8,25
2026-01-20,ONGC,Energy,287.73,285.37,25
2026-01-20,HDFC Bank,Banking,1728.77,1722.89,15
2026-01-20,ICICI Bank,Banking,1236.24,1258.04,5
2026-01-20,SBI,Banking,803.07,814.58,25
2026-01-20,ITC,FMCG,459.02,445.63,30
2026-01-20,Hindustan Unilever,FMCG,2411.88,2366.13,20
2026-01-21,TCS,IT,3181.82,3238.64,5
2026-01-21,Infosys,IT,1534.84,1561.92,5
2026-01-21,HCL Tech,IT,1450.61,1441.3,15
2026-01-21,Reliance,Energy,1355.2,1382.42,20
2026-01-21,ONGC,Energy,269.04,271.42,20
2026-01-21,HDFC Bank,Banking,1760.28,1761.44,25
2026-01-21,ICICI Bank,Banking,1160.8,1187.76,25
2026-01-21,SBI,Banking,816.15,850.08,5
2026-01-21,ITC,FMCG,436.08,439.94,15
2026-01-21,Hindustan Unilever,FMCG,2326.48,2403.62,20
2026-01-22,TCS,IT,3248.14,3263.15,30
2026-01-22,Infosys,IT,1498.43,1505.16,25
2026-01-22,HCL Tech,IT,1417.82,1444.69,10
2026-01-22,Reliance,Energy,1353.11,1351.48,25
2026-01-22,ONGC,Energy,274.02,280.07,30
2026-01-22,HDFC Bank,Banking,1793.79,1806.84,5
2026-01-22,ICICI Bank,Banking,1208.82,1241.31,15
2026-01-22,SBI,Banking,817.74,806.15,30
2026-01-22,ITC,FMCG,457.38,452.23,30
2026-01-22,Hindustan Unilever,FMCG,2398.58,2355.18,25
2026-01-23,TCS,IT,3175.73,3276.16,25
2026-01-23,Infosys,IT,1590.03,1608.3,5
2026-01-23,HCL Tech,IT,1471.0,1461.12,20
2026-01-23,Reliance,Energy,1376.0,1344.96,5
2026-01-23,ONGC,Energy,273.81,274.97,15
2026-01-23,HDFC Bank,Banking,1808.68,1846.13,20
2026-01-23,ICICI Bank,Banking,1205.17,1209.32,5
2026-01-23,SBI,Banking,781.88,791.23,5
2026-01-23,ITC,FMCG,454.59,463.09,5
2026-01-23,Hindustan Unilever,FMCG,2479.73,2495.35,10
2026-01-26,TCS,IT,3315.31,3318.64,20
2026-01-26,Infosys,IT,1529.62,1561.09,10
2026-01-26,HCL Tech,IT,1413.82,1364.01,10
2026-01-26,Reliance,Energy,1373.79,1364.91,25
2026-01-26,ONGC,Energy,290.63,281.5,20
2026-01-26,HDFC Bank,Banking,1764.39,1781.2,25
2026-01-26,ICICI Bank,Banking,1164.79,1203.61,5
2026-01-26,SBI,Banking,794.77,772.4,30
2026-01-26,ITC,FMCG,463.18,474.4,5
2026-01-26,Hindustan Unilever,FMCG,2376.33,2363.39,10
2026-01-27,TCS,IT,3169.51,3172.48,15
2026-01-27,Infosys,IT,1504.6,1542.64,25
2026-01-27,HCL Tech,IT,1398.54,1409.27,25
2026-01-27,Reliance,Energy,1455.62,1467.91,25
2026-01-27,ONGC,Energy,281.91,287.45,15
2026-01-27,HDFC Bank,Banking,1714.63,1744.86,30
2026-01-27,ICICI Bank,Banking,1171.68,1157.3,20
2026-01-27,SBI,Banking,782.63,771.79,5
2026-01-27,ITC,FMCG,459.25,460.61,30
2026-01-27,Hindustan Unilever,FMCG,2452.29,2440.84,15
2026-01-28,TCS,IT,3150.79,3128.3,25
2026-01-28,Infosys,IT,1564.92,1641.14,10
2026-01-28,HCL Tech,IT,1485.39,1496.09,10
2026-01-28,Reliance,Energy,1383.27,1407.4,10
2026-01-28,ONGC,Energy,283.06,279.48,10
2026-01-28,HDFC Bank,Banking,1728.76,1737.57,30
2026-01-28,ICICI Bank,Banking,1195.29,1193.21,10
2026-01-28,SBI,Banking,823.19,833.58,25
2026-01-28,ITC,FMCG,460.67,472.1,5
2026-01-28,Hindustan Unilever,FMCG,2353.58,2354.54,25
2026-01-29,TCS,IT,3322.89,3209.2,15
2026-01-29,Infosys,IT,1559.88,1562.06,15
2026-01-29,HCL Tech,IT,1400.8,1377.23,5
2026-01-29,Reliance,Energy,1444.44,1461.45,15
2026-01-29,ONGC,Energy,280.34,281.56,15
2026-01-29,HDFC Bank,Banking,1685.72,1701.49,25
2026-01-29,ICICI Bank,Banking,1185.13,1183.65,30
2026-01-29,SBI,Banking,775.72,776.98,5
2026-01-29,ITC,FMCG,444.82,436.4,10
2026-01-29,Hindustan Unilever,FMCG,2457.49,2413.54,5
