Transaction_ID,Date,Account_ID,Category,Amount,Payment_Method,Status
TXN0166,2026-08-04,ACC1001,Transfer,39354.88,Bank Transfer,Completed
TXN0129,2026-08-04,ACC1024,Bills,47548.79,Card,Completed
TXN0148,2026-08-04,ACC1015,Entertainment,15274.15,Net Banking,Completed
TXN0146,2026-08-04,ACC1018,Travel,32416.97,Bank Transfer,Completed
TXN0073,2026-08-04,ACC1009,Travel,29071.43,Bank Transfer,Completed
DUP0003,2026-08-04,ACC1009,Travel,29071.43,Bank Transfer,Completed
TXN0023,2026-08-04,ACC1010,Electronics,7992.07,UPI,Completed
TXN0175,2026-08-04,ACC1002,Electronics,85500.16,Bank Transfer,Completed
TXN0172,2026-08-04,ACC1002,Shopping,87717.48,Bank Transfer,Completed
TXN0096,2026-08-05,ACC1008,Electronics,34728.1,Card,Completed
TXN0052,2026-08-05,ACC1022,Entertainment,15069.85,Bank Transfer,Completed
TXN0137,2026-08-05,ACC1019,Food,4350.53,Card,Completed
TXN0020,2026-08-05,ACC1021,Travel,39624.76,Net Banking,Completed
TXN0061,2026-08-05,ACC1021,Food,8162.94,Net Banking,Pending
TXN0002,2026-08-05,ACC1024,Shopping,33867.3,UPI,Pending
TXN0176,2026-08-05,ACC1002,Electronics,84275.51,Card,Completed
TXN0103,2026-08-05,ACC1020,Bills,1445.63,Net Banking,Completed
TXN0110,2026-08-05,ACC1016,Entertainment,5808.03,Card,Pending
TXN0142,2026-08-06,ACC1018,Shopping,7910.98,Net Banking,Pending
TXN0135,2026-08-06,ACC1002,Food,47059.07,Net Banking,Completed
TXN0067,2026-08-06,ACC1014,Shopping,9050.1,Bank Transfer,Pending
TXN0153,2026-08-06,ACC1002,Shopping,250000.0,Bank Transfer,Completed
TXN0016,2026-08-07,ACC1019,Entertainment,15802.43,Net Banking,Pending
DUP0002,2026-08-07,ACC1018,Travel,36195.29,Net Banking,Completed
TXN0131,2026-08-07,ACC1010,Travel,18107.97,Bank Transfer,Completed
TXN0098,2026-08-07,ACC1014,Electronics,45251.44,UPI,Pending
TXN0065,2026-08-07,ACC1022,Travel,33379.98,Bank Transfer,Pending
TXN0036,2026-08-07,ACC1018,Travel,36195.29,Net Banking,Completed
TXN0130,2026-08-07,ACC1024,Electronics,13897.33,Bank Transfer,Completed
TXN0040,2026-08-07,ACC1007,Bills,22485.82,Net Banking,Completed
TXN0051,2026-08-07,ACC1022,Entertainment,15777.77,Bank Transfer,Pending
TXN0046,2026-08-07,ACC1010,Travel,48438.6,UPI,Completed
TXN0043,2026-08-08,ACC1006,Electronics,24333.49,Card,Pending
TXN0015,2026-08-08,ACC1002,Transfer,15841.11,Bank Transfer,Completed
TXN0120,2026-08-08,ACC1025,Electronics,28535.5,Net Banking,Completed
TXN0085,2026-08-08,ACC1022,Food,11309.57,Card,Completed
TXN0033,2026-08-08,ACC1008,Shopping,16970.47,Card,Completed
TXN0101,2026-08-08,ACC1009,Electronics,24333.54,Net Banking,Completed
TXN0011,2026-08-08,ACC1004,Electronics,13970.88,Bank Transfer,Completed
TXN0055,2026-08-08,ACC1012,Food,7971.57,Bank Transfer,Completed
TXN0019,2026-08-08,ACC1005,Bills,24726.44,UPI,Completed
DUP0001,2026-08-08,ACC1004,Electronics,13970.88,Bank Transfer,Completed
TXN0108,2026-08-08,ACC1021,Shopping,39083.53,UPI,Completed
TXN0109,2026-08-08,ACC1007,Transfer,1116.96,Card,Completed
TXN0173,2026-08-08,ACC1002,Entertainment,18462.14,Bank Transfer,Completed
TXN0145,2026-08-09,ACC1021,Bills,33093.03,Card,Pending
TXN0072,2026-08-09,ACC1012,Entertainment,25519.34,Bank Transfer,Completed
TXN0057,2026-08-09,ACC1004,Shopping,37146.59,Card,Completed
TXN0093,2026-08-09,ACC1025,Travel,42009.16,Bank Transfer,Pending
TXN0182,2026-08-09,ACC1003,Transfer,5218.05,Bank Transfer,Completed
TXN0041,2026-08-09,ACC1015,Travel,43736.85,UPI,Pending
TXN0095,2026-08-09,ACC1011,Food,44662.04,UPI,Completed
TXN0183,2026-08-10,ACC1003,Transfer,54889.71,Bank Transfer,Completed
TXN0058,2026-08-10,ACC1020,Travel,35908.85,Card,Completed
TXN0171,2026-08-10,ACC1002,Electronics,79871.96,Card,Completed
TXN0064,2026-08-10,ACC1012,Transfer,48612.59,UPI,Completed
TXN0112,2026-08-10,ACC1004,Bills,1381.35,Bank Transfer,Pending
TXN0128,2026-08-10,ACC1009,Travel,6120.73,Card,Completed
TXN0084,2026-08-10,ACC1017,Entertainment,31683.75,Bank Transfer,Completed
TXN0119,2026-08-11,ACC1008,Transfer,46737.63,Bank Transfer,Pending
TXN0006,2026-08-11,ACC1009,Travel,10844.16,Bank Transfer,Completed
TXN0106,2026-08-11,ACC1025,Electronics,13985.01,Net Banking,Completed
TXN0063,2026-08-12,ACC1019,Bills,7489.88,Card,Completed
TXN0070,2026-08-12,ACC1010,Transfer,39787.74,Card,Completed
TXN0122,2026-08-12,ACC1009,Food,14054.96,Bank Transfer,Completed
TXN0012,2026-08-12,ACC1012,Travel,33541.74,UPI,Completed
TXN0115,2026-08-12,ACC1018,Electronics,33109.91,UPI,Completed
TXN0113,2026-08-13,ACC1023,Travel,3892.22,Card,Completed
TXN0179,2026-08-13,ACC1003,Travel,83358.79,Bank Transfer,Completed
TXN0088,2026-08-13,ACC1008,Travel,32837.29,UPI,Completed
TXN0049,2026-08-13,ACC1004,Bills,12386.15,UPI,Completed
TXN0081,2026-08-13,ACC1018,Transfer,120.26,Bank Transfer,Completed
TXN0079,2026-08-13,ACC1023,Food,27765.18,Card,Pending
TXN0164,2026-08-13,ACC1001,Transfer,69642.48,UPI,Completed
TXN0021,2026-08-13,ACC1013,Bills,49806.46,Bank Transfer,Completed
TXN0069,2026-08-13,ACC1002,Transfer,23587.43,Card,Pending
TXN0089,2026-08-14,ACC1008,Travel,40225.08,Net Banking,Completed
TXN0038,2026-08-14,ACC1014,Electronics,43205.45,UPI,Completed
TXN0050,2026-08-14,ACC1022,Bills,28304.82,Bank Transfer,Completed
TXN0181,2026-08-14,ACC1003,Food,84411.11,Bank Transfer,Completed
TXN0168,2026-08-14,ACC1001,Shopping,20944.52,Card,Completed
TXN0097,2026-08-14,ACC1014,Food,27176.3,Net Banking,Completed
TXN0077,2026-08-14,ACC1003,Entertainment,46046.47,Bank Transfer,Completed
TXN0155,2026-08-14,ACC1003,Transfer,475000.0,UPI,Completed
TXN0082,2026-08-14,ACC1019,Bills,32769.81,Net Banking,Pending
TXN0087,2026-08-14,ACC1021,Bills,9802.32,Net Banking,Pending
TXN0163,2026-08-14,ACC1001,Entertainment,47114.87,Bank Transfer,Completed
TXN0139,2026-08-15,ACC1015,Food,43022.32,Net Banking,Completed
TXN0083,2026-08-15,ACC1022,Travel,25607.58,Card,Completed
TXN0154,2026-08-15,ACC1002,Electronics,320000.0,Bank Transfer,Completed
TXN0165,2026-08-15,ACC1001,Shopping,31733.96,Card,Completed
TXN0045,2026-08-15,ACC1010,Electronics,34859.92,Net Banking,Completed
TXN0099,2026-08-16,ACC1001,Food,15000.77,Net Banking,Pending
TXN0161,2026-08-16,ACC1001,Food,39709.59,Card,Completed
TXN0037,2026-08-16,ACC1014,Travel,4806.86,Net Banking,Completed
TXN0178,2026-08-16,ACC1003,Travel,43826.85,UPI,Completed
TXN0184,2026-08-16,ACC1003,Transfer,17630.61,Bank Transfer,Completed
TXN0177,2026-08-17,ACC1003,Entertainment,28241.12,Card,Completed
TXN0149,2026-08-17,ACC1018,Electronics,21944.17,UPI,Pending
TXN0123,2026-08-17,ACC1007,Shopping,12143.67,Net Banking,Pending
TXN0059,2026-08-17,ACC1016,Food,45276.29,UPI,Completed
TXN0048,2026-08-17,ACC1003,Transfer,9372.67,UPI,Completed
TXN0024,2026-08-17,ACC1025,Travel,25433.32,UPI,Completed
TXN0138,2026-08-18,ACC1025,Electronics,30355.25,Card,Pending
TXN0092,2026-08-18,ACC1015,Travel,37208.41,Net Banking,Pending
TXN0100,2026-08-18,ACC1024,Entertainment,27352.0,Card,Pending
TXN0054,2026-08-18,ACC1007,Bills,13333.5,Bank Transfer,Completed
TXN0042,2026-08-18,ACC1004,Shopping,32642.03,UPI,Completed
TXN0090,2026-08-18,ACC1008,Transfer,6155.79,Card,Pending
TXN0031,2026-08-18,ACC1025,Entertainment,34524.39,Bank Transfer,Pending
TXN0030,2026-08-18,ACC1006,Food,26430.92,Net Banking,Completed
TXN0026,2026-08-18,ACC1025,Bills,45932.83,Bank Transfer,Pending
TXN0013,2026-08-18,ACC1024,Travel,8253.78,Net Banking,Completed
TXN0062,2026-08-18,ACC1001,Shopping,3854.67,Card,Completed
TXN0009,2026-08-18,ACC1010,Transfer,31469.13,Bank Transfer,Completed
TXN0124,2026-08-18,ACC1025,Travel,34561.41,Net Banking,Pending
TXN0005,2026-08-19,ACC1009,Transfer,43478.09,Card,Pending
TXN0140,2026-08-19,ACC1020,Shopping,30520.58,UPI,Completed
TXN0118,2026-08-20,ACC1018,Transfer,24226.53,Net Banking,Completed
TXN0066,2026-08-20,ACC1024,Travel,46295.61,Card,Completed
TXN0075,2026-08-20,ACC1017,Shopping,19321.25,Card,Completed
TXN0169,2026-08-20,ACC1002,Transfer,47371.91,Card,Completed
TXN0141,2026-08-21,ACC1007,Food,33055.36,Card,Completed
TXN0014,2026-08-21,ACC1023,Bills,11058.8,Bank Transfer,Completed
TXN0094,2026-08-21,ACC1008,Food,22049.64,Bank Transfer,Completed
TXN0060,2026-08-21,ACC1014,Transfer,13906.34,UPI,Completed
TXN0025,2026-08-21,ACC1017,Bills,10025.66,Bank Transfer,Completed
TXN0017,2026-08-21,ACC1015,Travel,13317.52,Card,Completed
TXN0117,2026-08-21,ACC1015,Entertainment,7734.26,Card,Completed
TXN0001,2026-08-21,ACC1004,Shopping,37103.37,Card,Completed
TXN0032,2026-08-22,ACC1021,Food,21961.19,Net Banking,Completed
TXN0022,2026-08-22,ACC1024,Shopping,34117.35,Bank Transfer,Completed
TXN0056,2026-08-22,ACC1018,Food,46594.63,UPI,Completed
DUP0004,2026-08-22,ACC1022,Transfer,20275.4,Card,Pending
DUP0005,2026-08-22,ACC1003,Shopping,125000.0,UPI,Completed
TXN0068,2026-08-22,ACC1024,Transfer,12483.55,Card,Completed
TXN0126,2026-08-22,ACC1019,Food,23715.7,Bank Transfer,Pending
TXN0080,2026-08-22,ACC1013,Entertainment,37431.91,Card,Completed
TXN0152,2026-08-22,ACC1002,Shopping,185000.0,UPI,Completed
TXN0151,2026-08-22,ACC1003,Shopping,125000.0,UPI,Completed
TXN0091,2026-08-22,ACC1017,Bills,29813.07,Net Banking,Pending
TXN0102,2026-08-22,ACC1022,Transfer,20275.4,Card,Pending
TXN0162,2026-08-22,ACC1001,Shopping,77907.31,Card,Completed
TXN0004,2026-08-23,ACC1021,Entertainment,27292.58,Card,Pending
TXN0010,2026-08-23,ACC1003,Shopping,33097.04,Bank Transfer,Completed
TXN0114,2026-08-23,ACC1025,Food,42529.63,UPI,Completed
TXN0143,2026-08-23,ACC1020,Electronics,14633.84,Card,Completed
TXN0111,2026-08-23,ACC1009,Transfer,18507.87,UPI,Completed
TXN0133,2026-08-23,ACC1005,Entertainment,43436.21,Net Banking,Completed
TXN0144,2026-08-23,ACC1010,Entertainment,42994.38,UPI,Completed
TXN0132,2026-08-23,ACC1018,Travel,13788.14,UPI,Completed
TXN0018,2026-08-24,ACC1019,Electronics,44901.36,Net Banking,Completed
TXN0150,2026-08-24,ACC1011,Bills,12593.36,UPI,Completed
TXN0078,2026-08-24,ACC1010,Bills,15533.3,Net Banking,Completed
TXN0180,2026-08-24,ACC1003,Travel,78442.29,Card,Completed
TXN0127,2026-08-24,ACC1018,Food,17655.35,Net Banking,Completed
